___Reference Peak Information								
IS DAG 34:0	614.6	287.30	Positive	FA 17:0	DAG	DAG 34:0+NH4		1.5350
DAG 36:3	636.6	325.30	Positive	FA 20:2	DAG	DAG 36:3+NH4		1.5690
DAG 36:3	636.6	301.30	Positive	FA 18:0	DAG	DAG 36:3+NH4		1.5690
DAG 36:2	638.6	325.30	Positive	FA 20:2	DAG	DAG 36:2+NH4		1.5690
DAG 36:2	638.6	271.30	Positive	FA 16:1	DAG	DAG 36:2+NH4		1.5690
DAG 36:2	638.6	327.30	Positive	FA 20:1	DAG	DAG 36:2+NH4		1.5690
DAG 36:2	638.6	273.30	Positive	FA 16:0	DAG	DAG 36:2+NH4		1.5690
DAG 36:2	638.6	297.30	Positive	FA 18:2	DAG	DAG 36:2+NH4		1.5690
DAG 36:2	638.6	301.30	Positive	FA 18:0	DAG	DAG 36:2+NH4		1.5690
DAG 36:2	638.6	299.30	Positive	FA 18:1	DAG	DAG 36:2+NH4		1.5690
DAG 36:1	640.6	329.30	Positive	FA 20:0	DAG	DAG 36:1+NH4		1.5700
DAG 36:1	640.6	299.30	Positive	FA 18:1	DAG	DAG 36:1+NH4		1.5700
DAG 36:1	640.6	273.30	Positive	FA 16:0	DAG	DAG 36:1+NH4		1.5700
DAG 36:1	640.6	327.30	Positive	FA 20:1	DAG	DAG 36:1+NH4		1.5700
DAG 36:1	640.6	301.30	Positive	FA 18:0	DAG	DAG 36:1+NH4		1.5700
DAG 36:1	640.6	271.30	Positive	FA 16:1	DAG	DAG 36:1+NH4		1.5700
DAG 36:0	642.6	329.30	Positive	FA 20:0	DAG	DAG 36:0+NH4		1.5700
DAG 36:0	642.6	301.30	Positive	FA 18:0	DAG	DAG 36:0+NH4		1.5700
DAG 36:0	642.6	273.30	Positive	FA 16:0	DAG	DAG 36:0+NH4		1.5700
DAG 38:6	658.5	297.30	Positive	FA 18:2	DAG	DAG 38:6+NH4		1.6040
DAG 38:6	658.5	321.30	Positive	FA 20:4	DAG	DAG 38:6+NH4		1.6040
DAG 38:6	658.5	273.30	Positive	FA 16:0	DAG	DAG 38:6+NH4		1.6040
DAG 38:6	658.5	345.30	Positive	FA 22:6	DAG	DAG 38:6+NH4		1.6040
DAG 38:5	660.6	295.30	Positive	FA 18:3	DAG	DAG 38:5+NH4		1.6040
DAG 38:5	660.6	299.30	Positive	FA 18:1	DAG	DAG 38:5+NH4		1.6040
DAG 38:5	660.6	301.30	Positive	FA 18:0	DAG	DAG 38:5+NH4		1.6040
DAG 38:5	660.6	319.30	Positive	FA 20:5	DAG	DAG 38:5+NH4		1.6040
DAG 38:5	660.6	297.30	Positive	FA 18:2	DAG	DAG 38:5+NH4		1.6040
DAG 38:5	660.6	321.30	Positive	FA 20:4	DAG	DAG 38:5+NH4		1.6040
DAG 38:4	662.6	321.30	Positive	FA 20:4	DAG	DAG 38:4+NH4		1.6040
DAG 38:4	662.6	295.30	Positive	FA 18:3	DAG	DAG 38:4+NH4		1.6040
DAG 38:4	662.6	301.30	Positive	FA 18:0	DAG	DAG 38:4+NH4		1.6040
DAG 38:4	662.6	327.30	Positive	FA 20:1	DAG	DAG 38:4+NH4		1.6040
DAG 38:3	664.6	295.30	Positive	FA 18:3	DAG	DAG 38:3+NH4		1.6050
DAG 38:3	664.6	325.30	Positive	FA 20:2	DAG	DAG 38:3+NH4		1.6050
DAG 38:3	664.6	299.30	Positive	FA 18:1	DAG	DAG 38:3+NH4		1.6050
DAG 38:3	664.6	297.30	Positive	FA 18:2	DAG	DAG 38:3+NH4		1.6050
DAG 38:3	664.6	327.30	Positive	FA 20:1	DAG	DAG 38:3+NH4		1.6050
DAG 38:3	664.6	329.30	Positive	FA 20:0	DAG	DAG 38:3+NH4		1.6050
DAG 38:2	666.6	329.30	Positive	FA 20:0	DAG	DAG 38:2+NH4		1.6050
DAG 38:2	666.6	327.30	Positive	FA 20:1	DAG	DAG 38:2+NH4		1.6050
DAG 38:2	666.6	325.30	Positive	FA 20:2	DAG	DAG 38:2+NH4		1.6050
DAG 38:2	666.6	299.30	Positive	FA 18:1	DAG	DAG 38:2+NH4		1.6050
DAG 38:2	666.6	297.30	Positive	FA 18:2	DAG	DAG 38:2+NH4		1.6050
DAG 38:2	666.6	301.30	Positive	FA 18:0	DAG	DAG 38:2+NH4		1.6050
DAG 38:1	668.6	299.30	Positive	FA 18:1	DAG	DAG 38:1+NH4		1.6050
DAG 38:1	668.6	327.30	Positive	FA 20:1	DAG	DAG 38:1+NH4		1.6050
DAG 38:1	668.6	301.30	Positive	FA 18:0	DAG	DAG 38:1+NH4		1.6050
DAG 38:1	668.6	329.30	Positive	FA 20:0	DAG	DAG 38:1+NH4		1.6050
DAG 40:6	686.6	325.30	Positive	FA 20:2	DAG	DAG 40:6+NH4		1.6400
DAG 40:6	686.6	319.30	Positive	FA 20:5	DAG	DAG 40:6+NH4		1.6400
DAG 40:6	686.6	321.30	Positive	FA 20:4	DAG	DAG 40:6+NH4		1.6400
DAG 40:6	686.6	327.30	Positive	FA 20:1	DAG	DAG 40:6+NH4		1.6400
DAG 40:6	686.6	345.30	Positive	FA 22:6	DAG	DAG 40:6+NH4		1.6400
DAG 40:6	686.6	301.30	Positive	FA 18:0	DAG	DAG 40:6+NH4		1.6400
DAG 40:5	688.6	327.30	Positive	FA 20:1	DAG	DAG 40:5+NH4		1.6410
DAG 40:5	688.6	319.30	Positive	FA 20:5	DAG	DAG 40:5+NH4		1.6410
DAG 40:5	688.6	329.30	Positive	FA 20:0	DAG	DAG 40:5+NH4		1.6410
DAG 40:5	688.6	321.30	Positive	FA 20:4	DAG	DAG 40:5+NH4		1.6410
DAG 40:4	690.6	329.30	Positive	FA 20:0	DAG	DAG 40:4+NH4		1.6410
DAG 40:4	690.6	325.30	Positive	FA 20:2	DAG	DAG 40:4+NH4		1.6410
DAG 40:4	690.6	321.30	Positive	FA 20:4	DAG	DAG 40:4+NH4		1.6410
DAG 40:3	692.6	325.30	Positive	FA 20:2	DAG	DAG 40:3+NH4		1.6410
DAG 40:3	692.6	327.30	Positive	FA 20:1	DAG	DAG 40:3+NH4		1.6410
DAG 40:2	694.6	329.30	Positive	FA 20:0	DAG	DAG 40:2+NH4		1.6420
DAG 40:2	694.6	325.30	Positive	FA 20:2	DAG	DAG 40:2+NH4		1.6420
DAG 40:2	694.6	327.30	Positive	FA 20:1	DAG	DAG 40:2+NH4		1.6420
DAG 40:1	696.7	329.30	Positive	FA 20:0	DAG	DAG 40:1+NH4		1.6420
DAG 40:1	696.7	327.30	Positive	FA 20:1	DAG	DAG 40:1+NH4		1.6420
DAG 40:0	698.7	329.30	Positive	FA 20:0	DAG	DAG 40:0+NH4		1.6420
___Processing Information								
Units for Internal standard	ng							
Units for Results								
