C:\LipidView Data\LV Results\220712_XtrIL_ExampleData_08_LPC_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
540.3	184.00	Positive	Confirmed and Common Results	LPC 20:6	(PC)	9623.3622	37617.426	65198.2483	24845.9881	56114.575	34919.02	36433.9037	8998.8292	36650.3077	42181.8308	42908.9469	30971.4259	26856.2582	45024.5317	28708.3665	62608.1435	38629.7337	35229.0219	43548.0779
542.4	184.00	Positive	Confirmed and Common Results	LPC 20:5	(PC)	37582.9281	41418.7289	59795.1214	54313.0245	75299.6744	82646.968	82045.2625	43794.5909	49543.989	51130.8519	48410.9812	37970.7001	97298.8344	115450.5241	62267.7942	71483.6059	54006.2256	39231.7895	33852.71
544.4	184.00	Positive	Confirmed and Common Results	LPC 20:4	(PC)	130393.4786	189274.7783	256713.8849	242367.2272	415869.1414	346127.755	139880.6153	125044.6246	301275.3281	288196.4433	484320.3133	322673.4877	494746.4225	488585.7961	318080.7101	265325.5255	112846.3265	190653.9945	42044.035
546.4	184.00	Positive	Confirmed and Common Results	LPC 20:3	(PC)	56348.8161	106525.4138	169194.2048	105459.4804	117942.208	78621.7294	72572.0261	61955.9757	101660.4123	191510.3834	284679.9295	169478.3049	128345.0574	130218.5273	90760.6585	114865.9431	54347.5703	95588.9713	32125
548.5	184.00	Positive	Confirmed and Common Results	LPC 20:2	(PC)	247156.5395	431866.841	592609.7234	467031.6235	558057.3968	462903.6475	113200.8722	97853.4468	157253.1231	240173.8834	366626.9205	203315.6328	402885.515	271503.1476	139291.2465	111237.0673	66588.1014	85613.6801	26675.8838
550.4	184.00	Positive	Confirmed and Common Results	LPC 20:1	(PC)	2069804.2623	4235102.1447	5429847.5634	3244447.9772	3701015.9595	3233069.0386	783266.5155	545152.3722	1008527.8694	1568680.9783	2083665.5975	1242480.6956	2423235.0231	1692341.3975	882511.7921	592130.41	455668.3899	415480.4082	292688.2963
552.4	184.00	Positive	Confirmed and Common Results	LPC 20:0	(PC)	115365.2728	50579.1622	236172.8291	24001.9998	51866.5382	79439.4466	67688.2372	52132.2595	89193.6637	128467.1297	96195.1841	71744.2606	69727.4702	66616.4771	59084.7989	43043.9892	32430.1245	31736.9793	20202.8724
568.3	184.00	Positive	Confirmed and Common Results	LPC 22:6	(PC)	78757.7438	149859.3204	179107.5689	120590.2079	202260.1579	153563.7733	81947.7881	77992.6876	138439.3364	222367.2274	309548.7823	131509.28	192292.5397	208870.1234	165112.296	203715.3031	117572.6883	142149.9265	30512.8125
570.4	184.00	Positive	Confirmed and Common Results	LPC 22:5	(PC)	104317.1125	137658.1005	203761.2113	178258.686	274741.9165	236581.7082	96235.6481	94454.3152	142221.538	153128.3286	235620.854	166598.1477	205010.3307	193770.1914	94903.4703	186389.7549	78538.7486	95114.2889	20874.0726
572.4	184.00	Positive	Confirmed and Common Results	LPC 22:4	(PC)	324271.4794	692226.4923	780380.6057	863030.5696	1100900.8315	747621.3075	341996.6054	227381.6499	452872.4461	517096.1144	733828.635	391402.4934	755172.4026	436607.6267	215331.9903	179640.383	121615.258	120183.3561	19190.59
574.5	184.00	Positive	Confirmed and Common Results	LPC 22:3	(PC)	141149.5976	271164.6929	288344.2841	185427.2654	196261.8974	168911.4096	116696.9089	80540.3159	143736.8591	254465.8977	356361.9163	211613.937	132604.4128	105057.7954	61609.1651	114438.9434	91488.5742	55288.3937	18102.9947
576.4	184.00	Positive	Confirmed and Common Results	LPC 22:2	(PC)	66113.854	143817.4265	196480.9112	56344.4974	86900.6305	85863.617	35247.5677	26629.0123	41209.5775	88758.9472	137051.2562	81782.1382	82705.7119	67723.5144	28969.9574	36482.5297	51937.2975	27578.9825	19184.2742
578.5	184.00	Positive	Confirmed and Common Results	LPC 22:1	(PC)	282327.1876	334995.6339	425435.9225	220564.9637	319517.7375	335961.1629	222208.3617	266914.3781	218438.9171	251652.5965	252066.0804	273305.8673	286208.1779	261293.5713	206634.6846	258945.9588	228031.2147	190515.3153	331475.3655
